order_id,item_id
1,640405296
1,640405025
1,640405380
2,640405323
3,640405058
3,640405331
4,640405112
4,640405347
4,640405380
4,640405389
5,640405399
5,640405307
5,640405355
6,640405315
7,640405380
8,640405315
9,640405025
9,640405380
10,640405348
10,640404923
10,640405172
10,640405389
11,640405307
11,640405355
11,640405380
11,640405085
12,640405112
12,640405347
12,640405348
12,640405399
13,640405172
14,640405323
14,640405371
14,640405355
15,640405296
15,640405058
15,640405371
15,640405380
16,640404963
16,640405389
17,640405395
17,640405371
18,640405331
19,640405112
19,640405025
19,640405315
19,640405355
20,640405058
20,640405371
20,640405085
21,640405307
21,640405085
22,640405296
22,640405339
23,640405371
24,640405355
24,640405380
24,640404923
24,640404963
25,640405395
25,640404963
26,640405331
26,640404963
26,640405355
27,640405307
27,640405371
28,640405025
28,640405315
28,640405399
29,640405172
30,640405339
30,640404963
30,640405355
31,640405307
32,640404923
32,640405172
33,640405025
33,640405315
33,640405389
34,640405315
34,640405355
34,640404963
35,640405380
35,640405315
35,640405331
35,640405395
36,640405348
36,640405347
36,640405380
37,640405371
37,640405395
38,640405315
38,640405380
39,640405355
40,640405172
40,640405355
40,640405348
41,640405112
41,640405339
42,640405172
43,640405296
43,640404923
44,640405395
44,640405380
45,640405058
45,640405371
45,640405399
46,640405323
47,640405085
48,640405339
48,640405371
48,640405380
48,640405355
49,640405296
50,640405371
51,640405112
51,640405355
52,640405296
52,640405323
52,640405348
52,640405399
53,640405112
53,640405331
53,640405172
54,640405315
54,640405355
55,640405058
56,640405315
56,640405395
56,640405389
57,640405315
58,640405112
58,640405307
58,640405395
59,640405347
60,640405307
60,640405331
61,640405112
61,640405380
61,640405348
61,640405399
62,640405025
62,640405389
63,640405399
64,640405025
65,640405331
65,640405085
66,640405315
66,640405347
66,640405389
66,640405399
67,640405307
67,640405371
67,640405399
68,640405355
69,640405380
70,640405339
70,640405348
71,640405371
72,640404923
72,640405389
72,640405355
73,640405339
74,640405323
74,640405380
74,640405399
75,640405371
75,640405380
76,640405112
76,640405339
76,640404963
77,640405331
77,640405355
78,640405112
78,640405307
78,640405339
78,640404963
79,640405172
79,640405395
79,640405348
79,640405339
80,640405339
80,640405395
81,640405112
81,640405058
82,640405380
82,640405348
83,640405339
83,640405389
84,640405355
84,640405380
85,640405112
86,640405296
86,640405355
86,640404963
87,640405112
87,640405395
88,640405112
88,640405331
89,640405112
89,640405307
89,640405172
90,640405112
90,640405025
91,640405395
91,640405085
91,640405399
92,640405395
93,640405331
93,640404963
93,640405315
94,640405112
94,640405025
94,640404963
94,640405355
95,640405296
95,640405348
96,640405347
96,640405348
97,640405315
97,640405307
97,640405380
98,640405112
98,640405323
98,640405355
98,640405085
99,640405112
99,640405058
99,640405395
100,640405296
100,640405331
100,640405315
100,640405380
101,640405380
101,640405395
101,640405348
101,640405085
102,640405323
102,640405339
102,640405058
103,640405323
103,640405395
103,640405380
103,640405389
104,640405347
104,640404923
104,640405399
105,640405307
105,640405371
105,640405355
106,640405315
106,640405355
107,640405025
107,640405331
107,640405380
108,640405331
109,640405025
109,640405315
109,640405307
109,640405395
110,640405025
110,640405172
110,640405355
110,640405348
111,640405323
111,640405339
111,640405380
112,640405315
112,640405380
113,640405315
113,640405395
113,640405399
114,640404963
115,640405331
115,640405323
115,640405380
115,640405085
116,640405371
117,640405112
117,640405395
117,640405389
118,640405331
118,640404923
119,640405355
119,640405380
119,640404963
120,640405355
121,640405058
121,640405380
122,640405331
123,640405296
123,640405307
123,640405058
123,640405355
124,640405296
124,640405348
125,640405296
125,640405315
126,640405307
126,640405058
126,640405331
126,640405380
127,640405323
127,640405331
128,640405307
128,640405371
129,640405307
129,640405315
129,640405355
130,640405025
130,640404963
130,640405389
131,640405315
131,640405355
132,640405315
132,640405355
132,640405380
133,640405296
133,640404923
133,640405399
134,640405307
135,640405307
135,640405395
135,640405347
136,640405323
136,640405315
136,640405348
137,640405296
137,640405371
138,640405395
138,640405355
139,640405315
139,640405172
140,640405331
140,640405380
140,640405371
141,640405389
142,640405315
142,640405323
142,640405085
142,640405331
143,640405025
143,640405315
143,640405395
144,640405296
144,640405315
144,640405355
145,640405331
146,640405025
146,640405315
146,640405339
147,640405112
147,640405331
147,640405395
148,640405371
149,640405112
149,640405323
150,640405307
150,640405172
151,640405307
151,640405339
151,640404923
152,640405112
152,640405307
152,640405348
152,640405371
153,640405112
153,640405395
153,640405172
154,640405307
154,640405389
154,640405371
155,640405307
155,640405380
156,640405347
156,640404963
157,640405172
158,640405331
159,640405058
159,640405399
160,640405355
160,640405380
161,640405296
161,640405315
162,640405331
162,640405307
162,640405389
162,640405371
163,640405296
163,640405315
163,640405355
164,640405025
164,640405371
164,640405395
165,640405058
165,640405315
166,640405389
167,640405296
167,640405323
168,640405058
168,640405307
168,640405331
169,640404963
170,640405331
170,640405380
171,640405315
171,640405331
171,640404963
172,640405331
172,640405348
173,640405395
174,640405315
174,640405339
174,640405395
174,640404963
175,640405296
175,640405315
175,640405380
176,640405058
176,640405331
176,640405339
177,640405315
177,640405355
178,640405315
179,640404963
180,640405371
181,640405296
182,640405339
183,640405025
183,640405315
183,640405348
184,640405172
185,640404963
185,640405355
185,640405371
186,640405339
186,640405355
187,640405331
188,640405380
188,640405389
189,640405331
189,640405315
190,640405389
191,640405025
191,640404963
191,640405085
192,640405355
192,640405395
193,640405112
193,640405323
193,640405307
193,640405395
194,640405296
194,640405355
195,640405058
195,640405355
196,640405307
196,640404923
196,640405395
196,640405371
197,640405395
197,640405399
198,640405307
198,640405371
198,640405380
199,640405339
200,640405307
200,640405331
200,640404963
200,640405323
201,640405112
201,640405025
201,640405331
201,640405380
202,640405331
202,640405389
202,640405371
203,640405380
