order_id,item_id
1,640405172
2,640405339
3,640405058
4,640405339
5,640405347
6,640405112
7,640405399
8,640405389
9,640405399
10,640405112
11,640405339
12,640404923
13,640404963
14,640405399
15,640405348
16,640405331
17,640405307
18,640405389
19,640405399
20,640404963
21,640405331
22,640405399
23,640405058
24,640405307
25,640405380
26,640405371
27,640405371
28,640405347
29,640405085
30,640405085
31,640405395
32,640405380
33,640405296
34,640405389
35,640405331
36,640405307
37,640405085
38,640404923
39,640405172
40,640405085
41,640405380
42,640405058
43,640405085
44,640405347
45,640405339
46,640405348
47,640405395
48,640405389
49,640405307
50,640405347
51,640405085
52,640405395
53,640405315
54,640405025
55,640405389
56,640405347
57,640405395
58,640405339
59,640405085
60,640405025
61,640405395
62,640405348
63,640405355
64,640405347
65,640405112
66,640405315
67,640405112
68,640404923
69,640405323
70,640405399
71,640405389
72,640405058
73,640405399
74,640405058
75,640405058
76,640405085
77,640405399
78,640405331
79,640405112
80,640404963
81,640405347
82,640405348
83,640405380
84,640405296
85,640405348
86,640405331
87,640405348
88,640404923
89,640405380
90,640405389
91,640405347
92,640405296
93,640405348
94,640405315
95,640405347
96,640405347
97,640405331
98,640405348
99,640404963
100,640405307
101,640404963
102,640405355
103,640405058
104,640404963
105,640405347
106,640404923
107,640405172
108,640405380
109,640405347
110,640404923
111,640405307
112,640404963
113,640405025
114,640404963
115,640405296
116,640405025
117,640405331
118,640405331
119,640405315
120,640405380
121,640405172
122,640405025
123,640404923
124,640405348
125,640404923
126,640405058
127,640405399
128,640405296
129,640405347
130,640405331
131,640405323
132,640405058
133,640405058
134,640405339
135,640405339
136,640405323
137,640405296
138,640405172
139,640405323
140,640405339
141,640404923
142,640405315
143,640405331
144,640405355
145,640405315
146,640405331
147,640405348
148,640405323
149,640405389
150,640404923
151,640405058
152,640405399
153,640405371
154,640405058
155,640405371
156,640405380
157,640405315
158,640405058
159,640404923
160,640405348
161,640405323
162,640405355
163,640405307
164,640405331
165,640405389
166,640405395
167,640405339
168,640405395
169,640405025
170,640405323
171,640405389
172,640405389
173,640405380
174,640405348
175,640405395
176,640405347
177,640405339
178,640404963
179,640405112
180,640405112
181,640405399
182,640405025
183,640405331
184,640405399
185,640405355
186,640405112
187,640405380
188,640404923
189,640405331
190,640405347
191,640405058
192,640405371
193,640405395
194,640405296
195,640405296
196,640405399
197,640405296
198,640405347
199,640405172
200,640404963
201,640405355
202,640405323
203,640405323
204,640405296
205,640405389
206,640405348
207,640405399
208,640405399
209,640404963
210,640405339
211,640405058
212,640405085
213,640405296
214,640405085
215,640405112
216,640405389
217,640405399
218,640405331
219,640405112
220,640405389
221,640405399
222,640405296
223,640405395
224,640404923
225,640405389
226,640405331
227,640405058
228,640405315
229,640404963
230,640405315
231,640404923
232,640405112
233,640405380
234,640405395
235,640405371
236,640405315
237,640404923
238,640405085
239,640405112
240,640404963
241,640405085
242,640405058
243,640405315
244,640405355
245,640405307
246,640405296
247,640405380
248,640405323
249,640405112
250,640405025
251,640404923
252,640405058
253,640404963
254,640405172
255,640405112
256,640405112
257,640405085
258,640405296
259,640405399
260,640405085
261,640405339
262,640405380
263,640405296
264,640405389
265,640404923
266,640405331
267,640405296
268,640405380
269,640405172
270,640405371
271,640405112
272,640405112
273,640405371
274,640405172
275,640405355
276,640405085
277,640405380
278,640405355
279,640405399
280,640405348
281,640405371
282,640405315
283,640405025
284,640405339
285,640405025
286,640405347
287,640404923
288,640405339
289,640404923
290,640405296
291,640405296
292,640405323
293,640405112
294,640405371
295,640405112
296,640405307
297,640405389
298,640404963
299,640404963
300,640405355
301,640404963
302,640405399
303,640405371
304,640405347
305,640405339
306,640405348
307,640405315
308,640405399
309,640404963
310,640404963
311,640405085
312,640405112
313,640405307
314,640405058
315,640405339
316,640405025
317,640405307
318,640404923
319,640405395
320,640405371
321,640405112
322,640405025
323,640405085
324,640405296
325,640405355
326,640405395
327,640405389
328,640405355
329,640405347
330,640405025
331,640405307
332,640405395
333,640405347
334,640405025
335,640405389
336,640405172
337,640405112
338,640404923
339,640405399
340,640405323
341,640404923
342,640404923
343,640405371
344,640405395
345,640405058
346,640405172
347,640405315
348,640405085
349,640405399
350,640405315
351,640405371
352,640405112
353,640405307
354,640405395
355,640405371
356,640405347
357,640405339
358,640405395
359,640405355
360,640404963
361,640405389
362,640405395
363,640405395
364,640405371
365,640405348
366,640405025
367,640405296
368,640405085
369,640405389
370,640405315
371,640405347
372,640405380
373,640405399
374,640405085
375,640405307
376,640405331
377,640405315
378,640405085
379,640405355
380,640405347
381,640405331
382,640405389
383,640405355
384,640405371
385,640405307
386,640404963
387,640405389
388,640405339
