customer_id,order_id,weather,order_timestamp,item_id,item_name,taste_profile,item_type
117,636,snowy,2015-01-01 17:49:49,640405395,Regular Shake,sweet,beverage
117,636,snowy,2015-01-01 17:49:49,640405380,Large Drink,chilling,beverage
117,636,snowy,2015-01-01 17:49:49,640405339,Large Curly Fries,savory,side
117,636,snowy,2015-01-01 17:49:49,640405348,Coffee,bitter,beverage
94,617,snowy,2015-01-01 17:53:47,640405339,Large Curly Fries,savory,side
107,1592,cloudy,2015-01-02 07:27:24,640405331,Regular Curly Fries,savory,side
107,1592,cloudy,2015-01-02 07:27:24,640405058,Veggie Burger,healthy,burger
181,1224,cloudy,2015-01-03 11:53:02,640405323,Small Curly Fries,savory,side
181,1224,cloudy,2015-01-03 11:53:02,640405315,Large Fries,savory,side
115,691,snowy,2015-01-03 15:25:53,640405355,Small Drink,chilling,beverage
115,691,snowy,2015-01-03 15:25:53,640405339,Large Curly Fries,savory,side
128,700,snowy,2015-01-04 06:26:15,640405399,Large Shake,sweet,beverage
128,700,snowy,2015-01-04 06:26:15,640405307,Regular Fries,savory,side
146,374,snowy,2015-01-05 15:38:22,640405058,Veggie Burger,healthy,burger
146,374,snowy,2015-01-05 15:38:22,640405348,Coffee,bitter,beverage
146,374,snowy,2015-01-05 15:38:22,640405315,Large Fries,savory,side
146,1676,rainy,2015-01-07 15:59:40,640404963,Cheeseburger,savory,burger
146,1676,rainy,2015-01-07 15:59:40,640404923,Hamburger,savory,burger
60,1724,rainy,2015-01-07 18:10:43,640405085,Double Hamburger,savory,burger
60,1724,rainy,2015-01-07 18:10:43,640405371,Regular Drink,chilling,beverage
67,1901,cloudy,2015-01-07 20:38:26,640405395,Regular Shake,sweet,beverage
67,1901,cloudy,2015-01-07 20:38:26,640405315,Large Fries,savory,side
117,313,rainy,2015-01-08 10:07:02,640405399,Large Shake,sweet,beverage
117,313,rainy,2015-01-08 10:07:02,640405380,Large Drink,chilling,beverage
55,842,rainy,2015-01-10 06:58:54,640405331,Regular Curly Fries,savory,side
55,842,rainy,2015-01-10 06:58:54,640405399,Large Shake,sweet,beverage
55,842,rainy,2015-01-10 06:58:54,640405315,Large Fries,savory,side
55,842,rainy,2015-01-10 06:58:54,640405323,Small Curly Fries,savory,side
114,1512,rainy,2015-01-10 11:56:19,640405058,Veggie Burger,healthy,burger
114,1512,rainy,2015-01-10 11:56:19,640405380,Large Drink,chilling,beverage
114,1512,rainy,2015-01-10 11:56:19,640405355,Small Drink,chilling,beverage
50,1929,snowy,2015-01-11 12:24:45,640405025,Bacon Cheeseburger,savory,burger
50,1929,snowy,2015-01-11 12:24:45,640405348,Coffee,bitter,beverage
50,1929,snowy,2015-01-11 12:24:45,640405112,Double Cheeseburger,savory,burger
6,1450,rainy,2015-01-12 05:44:30,640405339,Large Curly Fries,savory,side
6,1450,rainy,2015-01-12 05:44:30,640405380,Large Drink,chilling,beverage
6,1450,rainy,2015-01-12 05:44:30,640405355,Small Drink,chilling,beverage
6,1450,rainy,2015-01-12 05:44:30,640405296,Small Fries,savory,side
128,1299,snowy,2015-01-12 07:57:59,640405323,Small Curly Fries,savory,side
172,151,snowy,2015-01-12 20:57:00,640405058,Veggie Burger,healthy,burger
172,151,snowy,2015-01-12 20:57:00,640405395,Regular Shake,sweet,beverage
172,151,snowy,2015-01-12 20:57:00,640405371,Regular Drink,chilling,beverage
73,1374,cloudy,2015-01-13 08:19:07,640405112,Double Cheeseburger,savory,burger
166,1597,sunny,2015-01-13 10:17:13,640405307,Regular Fries,savory,side
166,1597,sunny,2015-01-13 10:17:13,640405315,Large Fries,savory,side
166,1597,sunny,2015-01-13 10:17:13,640404963,Cheeseburger,savory,burger
4,1565,sunny,2015-01-13 22:46:44,640405025,Bacon Cheeseburger,savory,burger
20,1351,cloudy,2015-01-14 12:55:36,640405323,Small Curly Fries,savory,side
20,1351,cloudy,2015-01-14 12:55:36,640405339,Large Curly Fries,savory,side
20,1351,cloudy,2015-01-14 12:55:36,640405395,Regular Shake,sweet,beverage
190,1196,rainy,2015-01-19 05:26:24,640405307,Regular Fries,savory,side
106,791,snowy,2015-01-19 13:25:52,640405296,Small Fries,savory,side
106,791,snowy,2015-01-19 13:25:52,640405172,Double Bacon Cheeseburger,savory,burger
184,1285,sunny,2015-01-20 00:27:13,640404923,Hamburger,savory,burger
184,1285,sunny,2015-01-20 00:27:13,640404963,Cheeseburger,savory,burger
184,1285,sunny,2015-01-20 00:27:13,640405355,Small Drink,chilling,beverage
184,1285,sunny,2015-01-20 00:27:13,640405371,Regular Drink,chilling,beverage
125,1182,cloudy,2015-01-22 17:11:35,640405380,Large Drink,chilling,beverage
125,1182,cloudy,2015-01-22 17:11:35,640405399,Large Shake,sweet,beverage
125,1182,cloudy,2015-01-22 17:11:35,640405331,Regular Curly Fries,savory,side
125,1182,cloudy,2015-01-22 17:11:35,640405307,Regular Fries,savory,side
39,1124,cloudy,2015-01-23 15:14:22,640405025,Bacon Cheeseburger,savory,burger
39,1124,cloudy,2015-01-23 15:14:22,640405085,Double Hamburger,savory,burger
107,857,sunny,2015-01-25 08:10:06,640405331,Regular Curly Fries,savory,side
107,857,sunny,2015-01-25 08:10:06,640405355,Small Drink,chilling,beverage
172,383,snowy,2015-01-26 22:51:12,640405307,Regular Fries,savory,side
107,786,sunny,2015-01-27 11:10:30,640405315,Large Fries,savory,side
